Year;abstract
2021;this literature review aimed to examine the status trends and tendencies in publications about virtual classrooms instructional design in the virtual classroom and instructional effectiveness in the virtual classroom as indexed in the eric database. for this review we examined 2680 publications indexed in eric between 1994 and 2018. we collected data with data mining and utilised several python libraries as resources for developing the analysis plan. the results of the analysis are presented in visual form. for each of the three subject matter areas examined in this study we present the themes in the publications by years titles abstracts and eric descriptors. we report in detail the trends and challenges that emerged from the analysis. the results show that the words learning online and environment were prominent in each of the three subject matter areas. the primary topics addressed were literacy and curriculum development and researchers examined the roles of instructors learners and managers.
2021;introduction: to reduce the rate of spread of the covid-19 pandemic in turkey distance education was initiated in all universities on 23 march 2020. distance learning had not been experienced in physical therapy and rehabilitation education before the covid-19 outbreak. this study aimed to (a) determine the acceptance and attitudes of pamukkale university physical therapy and rehabilitation undergraduate students towards distance learning during the covid-19 outbreak and (b) compare the results among years. methods: this study was conducted from may 2020 to june 2020 at the pamukkale university school of physical therapy and rehabilitation in turkey. a total of 381 students (271 female 110 male) participated. the distance learning systems acceptance scale (ease of use benefit) the community feeling scale (affective and actional dimension) and the distance learning attitude scale (general acceptance individual awareness perceived usefulness effective participation) were used to measure students' acceptance and attitudes towards distance education. results: students had partly positive attitudes towards distance learning but were undecided about individual awareness usefulness and effective participation. the sense of community among students was moderate in the distance learning environment. distance learning acceptance and attitude and the sense of community levels were highest in fourth-year students (last year of the school) followed by first- third- and then second year students. the distance learning and sense of community scores of first- and fourth-year students were significantly higher than those of second- and third-year students (p <= 0.01). conclusion: physical therapy and rehabilitation undergraduate students' attitudes towards distance learning during the covid-19 outbreak were positive. however when comparing between years students in the second and third academic years had less positive attitudes. this may be because most of their curricula consisted of practical courses and summer field internships and there were no opportunities to practise on mannequins peers and patients in distance education. in this study the sense of community among students in the distance learning environment was also moderate. this may be because students were not enthusiastic about attending course lectures online and because they did not have to view the lectures at a set time.
2021;in the covid-19 era while we are encouraged to be physically far away from each other social and scientific networking is needed more than ever. the dire consequences of social distancing can be diminished by social networking. social media a quintessential component of social networking facilitates the dissemination of reliable information and fighting against misinformation by health authorities. distance learning telemedicine and telehealth are among the most prominent applications of networking during this pandemic. additionally the covid-19 pandemic highlights the importance of collaborative scientific efforts. in this chapter we summarize the advantages of harnessing both social and scientific networking in minimizing the harms of this pandemic. we also discuss the extra collaborative measures we can take in our fight against covid-19 particularly in the scientific field.
2021;introduction: this study aims to inspire researchers to conduct future studies within this subject area through a bibliometric analysis of publications that focused on covid-19-related medical education. materials and methods: the data of the study were obtained by determining publications from the web of science core collection (woscc) bibliographic database that focused on covid-19-related medical education and then analyzed according to bibliometric methodology. vosviewer software and visualization maps were used to report the analytical findings obtained from the collected data. results: the findings showed that the number of publications that focused on covid-19-related medical education increased steadily and consistently and that these publications focused on different topics such as medical students telemedicine pandemic undergraduate and e-learning. it was determined that the united states the united kingdom china and singapore were the top contributors to the articles published on covid-19-related medical education and that most publications consisted of theoretical studies. in addition the results of this study revealed that in order to contribute to the rapid dissemination of scientific knowledge produced during the pandemic the editorial (referee/blind review) and publication processes of journals were conducted quicker than usual for articles pertaining to covid-19. conclusion: this study revealed the research trends and current status of publications that focused on covid-19-related medical education through bibliometric analysis and provided important findings for the future research vision of this subject area. to the best of the authors knowledge no other comprehensive bibliometric analysis of publications with a focus on covid-19-related medical education has been conducted thus far. the current study therefore contributes to the knowledge base on covid-19-related medical education by offering scientometric analysis of the existing literature and knowledge.
2021;study objectives: with the restrictions in the pandemic process and the distance education process changes have occurred in the diet of students. in such periods which affect human life in a significant way in terms of public health nutrition must be managed well. the study was conducted to evaluate the eating awareness of university students during the covid-19 pandemic period and to examine its relationship with their engagement in life. methods: the population of the cross-sectional study consists of the students of munzur university. as a precaution regarding the covid-19 pandemic the participants were reached on the internet. results: eating awareness was statistically higher in men married people those with normal weight and older students. while the life engagement among university students was high the mean scores of eating awareness and its sub-components were moderate. life engagement was significantly higher in sports science students than students in other academic units. there was a weak but significant relationship between eating awareness and engagement in life. conclusion: eating awareness of university students during the pandemic is at a moderate level. students with high eating awareness are attached to life more. the highest life engagement among academic units is among sports science students. there is a need for public health initiatives to increase the awareness of eating among the students against covid-19 and possible future pandemics.
2021;this study intends to investigate the factors which can affect the sustainability of mobile learning (m-learning) from many perspectives. current studies on the sustainability of m-learning are reviewed in the context of organizational financial legal and ethical pedagogical assessment psychological and social factors. in addition to the literature review an investigation based on formal interviews is conducted with 11 heads in university centers for distance education (ucde) to obtain additional sustainability factors. to test the impacts of the factors on sustainability in m-learning another investigation which bases on survey research is conducted with administrative personnel in ucde and instructors and students in the distance education universities. a total of 667 survey responses are analyzed and a model for the sustainability of m-learning is developed. this article concludes that some factors have significant effects on sustainability in m-learning and some of them are critically important for m-learning initiatives. m-learning sustainability is studied rarely in some contexts such as organizational psychological and social context. therefore this study can bridge this gap and provide a guideline to m-learning initiatives for sustainable education.
2021;the present study is an evaluation of the distance education process along with related activities in primary secondary and high schools in turkey during the covid-19 pandemic. the present qualitative study involved k-12 students who participated in the distance education process. semi-structured interviews were conducted and content analysis was performed on the data. the research findings show that eba tv supported students' learning and provided psychological support. the eba portal was deemed beneficial for providing easy access to the content and promotion of interest with varied presentations. but both eba tv and the eba portal were also reported to be deficient in preparing students for examinations. synchronous lessons were viewed more positively for such advantages as social interaction motivating atmosphere and opportunities to ask questions in real time. in conclusion the evaluations provided in this study can help instructional designers maintain and upgrade distance education activities targeting k-12 students.
2021;geocapabilities developed during team project-based fieldwork add value to tourism geography service modules in professional tourism and hospitality management curricula. this article is based on a case-study in turkish higher education. here variations on the prisoner's dilemma were used to confront learners with some 'wicked problems' they may face in their professional careers. comments on their decision processes are compared with those in individual reflective essays. responses to the prisoner's dilemma exercises demonstrate optimism and idealism toward: team cooperation prioritising sustainability and investing in people. reflective essay comments were less optimistic and more coloured by personal experience. evaluation returns suggest most found these decision-making games helpful in clarifying personal priorities concerns and values. this heightened self-awareness may be key to helping them to tackle the wicked problems they will face in their future careers.
2021;the banking industry is rapidly developing to utilize e-banking as an efficient and suitable tool to satisfy customers. online banking service is the general service suggested by customary banks to provide faster and more reliable services for customers. with fast technology improvement e-banking has been utilized to absorb subscribers and conduct banking transactions. still the major problem with e-banking is satisfying customers who are now using internet banking. customer satisfaction is a significant factor in helping banks to keep their competitive advantage. therefore the present investigation aims to examine the factors influencing the satisfaction of customer with e-banking services. four factors that can drive customer satisfaction towards e-banking are cloud services security e-learning and service quality. this study has utilized the structural equation modeling method to evaluate the causal model with the measurement model?s validity and reliability. the research model is analyzed based on the data which are collected from the questionnaires using smart pls 3.2. the results have shown that cloud services security e-learning and service quality are four significant factors influencing customer satisfaction in using internet banking services.
2021;distance education (de) which has evolved under the wings of information technologies in the last decade has become a fundamental part of our modern education system. de has not only replaced the traditional education method as in social sciences and lifelong learning opportunities but also has significantly strengthened traditional education in mathematics science and engineering fields that require practical and intensive study. however it is deprived of supporting some key elements found in traditional educational approaches such as (i) modern computer laboratories with installed special software suitable for the student's field of interest (ii) adequate staff for maintenance and proper functioning of laboratories (iii) face-to-face technical support (iv) license fees. for students to overcome these shortcomings a virtual application pool is needed where they can easily access all the necessary applications via remote access. this research aims to develop a platform-independent virtual laboratory environment for de students. this article has been developed specifically to guide de institutions and to make a positive contribution to the literature. technology acceptance model (tam) has been used to explain student behaviors. it was concluded that students using the platform performed more successful grades (12.89%) on laboratory assessments and that the students using the developed platform were found to be more satisfied with the education process.
2021;the covid-19 pandemic which was reported in early january 2020 in china and spread rapidly around the globe will certainly remain as one of the most impactful disruptive events of the 21st century. to contain the spread of the virus while awaiting a vaccine countries applied different approaches from simply giving advice on personal hygiene and applying progressive measures to total lockdown. this paper aims to investigate the impacts of the pandemic on travel behavior in istanbul turkey through a longitudinal panel study conducted in three phases during the early stages of the epidemic and pandemic. the paper reflects the travel behavior evolution during the development of the outbreak resulting from residents' selfregulation and governmental measures distinguishing travel for commute social/recreational/leisure (srl) and shopping activities as well as use of different travel modes based on various socio-economic characteristics. due to the application of the social distancing of at least 1.5 m closure of numerous non-essential venues encouraging teleworking and distance education job losses and cancellation of all social gatherings in istanbul between the second and third phase of our data collection the transition in travel activity pattern and transport mobility appears to be quite extreme particularly for commuting and srl trips.
2021;this study aims to investigate the influence of learners' characteristics on their engagement during online education due to the covid-19 pandemic. the investigated learner characteristics included digital literacy self-directed learning motivation for learning and perceived stress. the data were collected from the undergraduate learners and the proposed moderated mediation model was tested. the findings showed that all learner characteristics are significant predictors of online learner engagement. besides self-directed learning and motivation significantly mediate the relationship between digital literacy and engagement while perceived stress significantly moderates the relationship of digital literacy with self-directed learning but not with motivation for learning.
2021;purpose to identify the factors affecting nursing students' attitudes towards distance education. design and methods this research was conducted as a cross-sectional descriptive and correlational study with a total of 318 nursing students (n = 380) a university in the west of turkey. findings the total average scores of the students from the attitude towards distance education scale was 101.62 +/- 24.83 (min = 43 max = 175). practice implications nursing which is an applied discipline can be difficult to maintain entirely in the formof distance learning. therefore different teaching methods can be used to develop a positive attitude towards distance education in nursing students.
2021;the main objective of this study is to determine the effects of covid-19 measures on air quality in turkey. for this investigation a daily mean of pm10 pm2.5 no2 co o-3o- and so2 air pollutant data provided from the measurement stations run by the ministry of environment and urbanisation and the istanbul and izmir metropolitan municipalities were used. the r program an open-code statistics program was used to generate associated distribution maps using the data obtained. data for 29 metropolitan cities and the province of zonguldak where the pandemic measures were first implemented were examined for air quality changes. in evaluating whether the covid-19 measures have had an impact on the air quality of the 30 given cities two time periods were selected: a period before the covid-19 measures were implemented (between january 1 and march 15) and the period in which the measures were in force (between march 16 and april 15). in order to take the effects of seasonal conditions on air quality based on the 2020 post-epidemic data into account the average data from 2018 and 2019 were also compared. this study finds that the restrictions imposed during the covid-19 pandemic period in the 30 major cities in which most of the turkish population lives significantly improved the air quality. assuming that some of the measures taken during the pandemic period will become permanent over time (such as the increase in home working the decrease in air travel thanks to online meetings the widespread use of distance education the change in consumption habits and a reduction of waste) the epidemic period is thought to represent a turning point in increasing global air quality.
2021;as covid-19 reached turkey in march 2020 all universities switched to e-learning in a very short period. computer and software engineering (ce/se) undergraduate students studying at university campuses have switched to e-learning. this paper seeks to understand the e-learning experience of ce/se undergraduate students. a questionnaire was created and applied to ce/se undergraduate students in turkish universities. the data were analyzed using quantitative and qualitative techniques. the questionnaire received 290 usable responses. the highlights from the findings include: the participants (1) used video recordings intensively for e-learning and found them useful (2) found face-to-face lectures more beneficial compared to digital live lectures (3) used external online resources to improve their learning performance in courses (4) thought that the materials and methods utilized for assessment should be adapted to e-learning for a better and fair evaluation (5) perceived significantly less instructor support and classmate interaction and collaboration in e-learning compared to on-campus education settings (6) rated their perceived satisfaction from e-learning as 2.85 slightly under the mid-level of the 5-point likert scale (7) perceived instructor support student interaction and collaboration and student autonomy as noteworthy factors in high-quality e-learning.
2021;the coronavirus disease 2019 (covid-19) pandemic caused an emergency transform from traditional to distance learning at all levels of education which is called emergency remote teaching. to explore parents' views on students' experiences of remote teaching during the covid-19 pandemic and their experience and perspectives toward remote teaching during the lockdown of the covid-19 pandemic a questionnaire was developed and distributed to parents who have at least one child who had attended a face-to-face learning environment prior to school closures and started remote teaching during the pandemic. 983 parents participated in the study. the parents' views on students' experiences of remote teaching during the covid-19 pandemic their experiences and perspectives toward remote teaching were discussed. the results suggested that the remote teaching process has been challenging for both students and parents. it is found that the remote teaching practices were mainly covered in core courses remote teaching is considered as unsuitable for young children and students with special needs the parents complain about social isolation lack of interactivity and increased screen time and remote teaching has placed a heavy burden on parents. lastly the parents stated that their children acquired self-regulated learning skills and digital socialization during emergency remote teaching.
2021;objectives in 2018 harvard university provided a 10-week online course titled improving global health: focusing on quality and safety as using massive online open courses (moocs) web-based platform. the course was designed for those who care about health and healthcare and wish to learn more about how to measure and improve that care - for themselves for their institutions or for their countries. the goal of this course was to provide visual and written education tools for different countries and different age groups. in respect to the aim of this study is to evaluate the impressions and benefits of group learning activity and educational needs after this improving global health courses experience with an online survey among the participants. methods sixty-six family medicine practitioners and trainees who were among the participants of the course were the universe of the study. these young general practitioners/family physicians (gps/fps) from different countries were organized among themselves to follow the course as a group activity. two weeks after the course an online survey was sent to all the participants of this group activity. results twenty-eight out of 66 participants (42.4%) completed the survey and provided feedback on their perspectives and experience. most of them were female (70.4%) and have not attended any mooc course before (63%). this international group achieved a completion rate of approximately 65% by the deadline and nearly 90% including those finishing afterward. the majority felt that the group activity proved beneficial and supportive in nature. conclusions well-structured sustainable e-learning platforms will be the near futures' medical learning devices in a world without borders. future studies should further explore facilitators and barriers among fps for enrolling and completing moocs. furthermore there is a need to evaluate how these group-learning initiatives may help participants incorporate lessons learned from the course into their daily practice.
2021;this study aims to identify the needs of early childhood educators regarding distance education during the covid-19 pandemic. this basic qualitative research was carried out with a study group of 24 early childhood educators all of whom were determined via a maximum variation sampling method. the study data were gathered via interviews conducted with the participants and analyzed through an inductive approach. the study findings showed that early childhood educators need to improve their technological competencies have more interactive resources at their disposal be able to take advantage of a user-friendly educational platform specifically designed for the early childhood period be provided with the resources to serve families and have support for their psychological well-being. considering the essential role of teachers which the covid-19 pandemic has called to mind it is of vital importance to meet the abovementioned needs so as to improve the quality of distance education in early childhood.
2021;covid-19 has caused profound changes in various dimensions of people's lives. education system is one of the areas affected most and there have been profound changes mainly with regard to teachers students and parents. the main purpose of this research is to analyse the effects of covid-19 pandemic on ict competences and experiences of classroom teachers and parents in various dimensions. scales were developed to collect data for the research. the reliability of the scale was examined by calculating cronbach alpha coefficients which were .690 and .793 for the distance education and pandemic scale respectively. in the second study a total of 1345 people participated in the study including 841 classroom teachers and 504 parents whose children attending primary schools. the findings of the second study revealed significant differences between teachers and parents. based on the findings of the current study following suggestions could be given both parents and teachers should be informed and educated about ict usage. teachers should use digital applications like web 2.0 tools which will direct them through interactive way of teaching.
2021;the aim of the study was to investigate secondary school students' and teachers' access to information technologies in turkey by making interregional comparisons. document analysis of the qualitative research methods was employed to analyze the reports issued by the turkish ministry of national education the turkish statistical institute (tuik) and the programme for international student assessment (pisa). the results of the research revealed the importance of access to information and communication technologies for both students and teachers: 67.9% of the participating students were found to have internet connection and 69.1% a computer in their homes while 80.3% of the students were observed to use a computer outside the school but 19.7% were not. the results also showed that 64.6% of the students have internet connection in their classrooms but 29.2% of these students do not use the internet in the classroom whereas 8.9% use it in the classroom all the time. the rate of students using a digital device for reading is 38.1% while that of those not using one is 61.9%. some 32.1% of secondary school students were revealed not to have internet connection at home. additionally 77% of teachers were not trained in online teaching prior to the covid-19 pandemic. based on the findings teachers can be suggested to develop projects - i.e. of tubitak e-twinning and erasmus - which potentially encourage students to use information and communication technologies so that both teachers and students can benefit from them. it is also suggested that the ministry of national education should work on improving the information communication technology competencies of teachers and students. besides policies should be developed to eliminate regional differences in terms of access to digital resources and technology in terms of equal opportunities and opportunities.
2021;while we have been looking for alternative educational materials for our undergraduate students we found ourself in covid-19 pandemic and had to think postgraduate education. on the first day of restrictions our major problem was to learn and find the best communication tool. the first experiences for online meetings were boring we were not feeling our emotions but as days past we got used to it. we all understand the importance of having alternatives and have to be ready for second choices. during those challenging days all had more time to work on our completed data time to write complete the proofreading of written materials. other vital scientific activities for career development and profile building such as reading (every meeting with new articles/reviews) publishing and preparing oral presentation were fully completed during the online meetings as a part of lab meeting activities. they learned to improve communication skills be active participants and fight.
2021;the covid-19 pandemic has led to a rapid transition from face-to-face to distance learning. the problems caused by this rapid transition are combined with the negative psychological outcomes of the pandemic leading to numerous problems and difficulties in the teaching and learning processes. the recentness of these issues and developments requires detailed investigation as to how they affect distance learning. this study aims to investigate the role of psycho-demographic variables in the motivation and attendance of higher education students in distance education within the context of the covid-19 pandemic. in this descriptive study we collected data from 1494 turkish university students via an online survey. quantitative data were analysed using correlation analysis t test one-way anova multiple linear regression analysis and structural equation modelling. stress anxiety depression and intolerance of uncertainty were correlated negatively with distance learning motivation and frequency of distance learning attendance. while students who attended distance learning only synchronously joined the courses more frequently the motivation of those who joined the courses sometimes synchronously and sometimes asynchronously was higher. the strength of the relationships between intolerance of uncertainty and distance learning motivation was significantly increased via anxiety and depression. findings highlight the need for analysis of psycho-demographic variables while designing and implementing distance education programmes. psychological variables including stress anxiety and depression are related to motivation and attendance during distance education. while using both synchronous and asynchronous distance learning enhances motivation synchronous learning increases attendance.
2021;e-learning studies are becoming very important today as they provide alternatives and support to all types of teaching and learning programs. the effect of the covid-19 pandemic on educational systems has further increased the significance of e-learning. accordingly gaining a full understanding of the general topics and trends in e-learning studies is critical for a deeper comprehension of the field. there are many studies that provide such a picture of the e-learning field but the limitation is that they do not examine the field as a whole. this study aimed to investigate the emerging trends in the e-learning field by implementing a topic modeling analysis based on latent dirichlet allocation (lda) on 41925 peer-reviewed journal articles published between 2000 and 2019. the analysis revealed 16 topics reflecting emerging trends and developments in the e-learning field. among these the topics mooc learning assessment and elearning systems were found to be key topics in the field with a consistently high volume. in addition the topics of learning algorithms learning factors and adaptive learning were observed to have the highest overall acceleration with the first two identified as having a higher acceleration in recent years. going by these results it is concluded that the next decade of e-learning studies will focus on learning factors and algorithms which will possibly create a baseline for more individualized and adaptive mobile platforms. in other words after a certain maturity level is reached by better understanding the learning process through these identified learning factors and algorithms the next generation of e-learning systems will be built on individualized and adaptive learning environments. these insights could be useful for e-learning communities to improve their research efforts and their applications in the field accordingly.
2021;the field of distance education (de) is dynamic and constantly evolving it reflects and adapts according to changes in socio-cultural demographic political and technological domains. thus there is a need to understand past and present activities in the field in order to better inform future research. the main purpose of this study was to examine de research through data mining and analytics approaches using social network analysis (sna) and text mining to conduct a bibliographic analysis. the findings highlighted three main strands of de research: (a) issues related to open education (b) the design support and quality assurance of online de and (c) the implementation and use of educational technology media and digital tools. sna of the bibliometric data identified pivotal theoretical contributions including that the fields of distance education and educational technology converge. the article concludes with recommendations for future research directions.
2021;laboratories which are an integral part of education in disciplines that require hands-on training and application can now be presented using new technologies and application activities can be realized at a distance. in this study virtual laboratories (vls) are discussed and factors affecting the students' intention to use vls are investigated. the study was conducted within laboratory applications of circuit analysis within an associate degree program of a distance teaching university in turkey. in this study which used exploratory sequential design approach the learners' intentions to use a vl were examined within the framework of the technology acceptance model (tam). content analysis was used for the analysis of qualitative data and the partial least squares structural equation model was used for the analysis of quantitative data. as a result of the study the developed tam-based research model is a useful conceptual framework towards understanding and explaining the intentions of learners' virtual laboratory usage. the results of this study will guide institutions to integrate vls effectively into the education process and to increase and disseminate the use of vls by learners.
2021;this paper reports the impact of coronavirus disease 2019 on the practice and delivery of geotechnical and geoenvironmental engineering (gge) education modules including lectures lab sessions student assessments and research activities based on the feedback from faculty members in 14 countries/regions around the world. faculty members have since adopted a series of contingent measures to enhance teaching and learning experience during the pandemic which includes facilitating active learning exploring new teaching content related to public health expanding e-learning resources implementing more engaged and student-centred assessment and delivering high-impact integrated education and research. the key challenges that faculty members are facing appear to be how to maximise the flexibility of learning and meet physical distancing requirements without compromising learning outcomes education equity and interpersonal interactions in the traditional face-to-face teaching. despite the challenges imposed by the pandemic this could also be a good opportunity for faculty members obliged to lecture to rethink and revise the existing contents and approaches of professing gge education. three future opportunities namely smart learning flipped learning and interdisciplinary education are identified. the changes could potentially provide students with a more resilient engaged interactive and technology-based learning environment.
2021;many governments decided to cancel face-to-face teaching and learning activities in schools and universities. they replaced them with online teaching and distance learning activities to prevent the spread of coronavirus disease 2019 (covid-19). due to this sudden change students experienced some anthropometric environmental and psychosocial difficulties at home during the distance learning process. this study focuses on determining the importance of anthropometric environmental and psychosocial factors in the distance learning process during the covid-19 pandemic. this study presents main factors and their subfactors affecting ergonomic conditions of university students during distance learning. a novel distance learning ergonomics checklist is proposed based on the occupational safety and health administration checklists. the data are collected via a questionnaire filled by 100 university students who attend the ergonomics course online. then the integrated methodology includes voting analytic hierarchy process integrated pythagorean fuzzy technique for order preference by similarity to an ideal solution method is adopted to prioritize the factors determined. thirty-nine different subfactors are evaluated under five titles and the most important factors are determined using the proposed methodology. with the results achieved it is seen that the suggested checklist and proposed methodology can be used by public and private education organizations as a guide for improving their distance learning strategies.
2021;purpose traditional anatomy education (tae) is based on teaching by seeing and touching cadavers/plastic materials that enable three-dimensional thinking but there was no opportunity like this in distance anatomy education (dae). due to the covid-19 pandemic in 2020 many trainings planned face-to-face were carried out remotely. in this study our aim is to evaluate students' views on the efficiency of dae and to increase the efficiency of dae in the future. methods the questionnaire used in the study was applied to the first grade students in the faculty of medicine at the eskisehir osmangazi university in 2019-2020. 239 students completed the survey. the questionnaire consisted of the demographic information that was obtained with voluntary consent and sections containing suggestions on dae and its comparison with distance education of other basic medical science courses. the survey was prepared as a likert scale (with 1 = totally disagree to 5 = totally agree) on google forms and sent to the students online. results 82.4% of the students marked totally disagree or disagree for the statement of dae is more efficient than tae. the total percentage of students who marked totally disagree or disagree for the statement of i was satisfied with the theoretical education in dae was 58.6% but when it came to practical education the percentage raised to 79.9%. conclusions according to the results the efficiency of dae especially in terms of practice lessons was found to be lower than tae. to make dae a powerful alternative to tae future studies should aim to develop a new syllabus for dae.
2021;background clinical training during the covid-19 pandemic is high risk for medical students. medical schools in low- and middle-income countries (lmic) have limited capacity to develop resources in the face of rapidly developing health emergencies. here a free massive open online course (mooc) was developed as a covid-19 resource for medical students working in these settings and its effectiveness was evaluated. methods the re-aim (reach effectiveness adoption implementation and maintenance) framework was utilized to evaluate the effectiveness of mooc in teaching medical students about covid-19. the data sources included the student registration forms metrics quantifying their interactions within the modules students' course feedback and free-text responses. the data were collected from the moodle learning management system and google analytics from may 9 to september 15 2020. the research team analyzed the quantitative data descriptively and the qualitative data thematically. results among the 16237 unique visitors who accessed the course only 6031 medical students from 71 medical schools registered and about 4993 (83% of registrants) completed the course indicating high levels of satisfaction (m = 8.17 sd = 1.49) on a 10-point scale. the mean scores of each assessment modules were > 90%. the free-text responses from 987 unique students revealed a total of 17 themes (e.g. knowing the general information on covid-19 process management of the pandemic in public health online platform use and instructional design) across the elements of the re-aim framework. mainly the students characterized the mooc as well-organized and effective. conclusions medical students learned about covid-19 using a self-paced and unmonitored mooc. moocs could play a vital role in the dissemination of accurate information to medical students in lmic in future public health emergencies. the students were interested in using similar moocs in the future.
2021;this qualitative study aims to examine teachers' opinions concerning the middle school curricula that have been in use for years in order to determine its suitability for distance education during the covid-19 pandemic. the participants consisted of eighteen middle school teachers from different subject areas in turkey. a maximum variation sampling method was employed for participant selection. the data was collected through semi-structured interviews. due to the pandemic the interviews were conducted using video conferencing applications. the data was analyzed through content analysis. according to the findings the teachers report that while they are effective in achieving cognitive objectives they have difficulties in achieving affective and psychomotor objectives. in addition the teachers do not prefer to design their own materials rather they mainly benefit from ready-to-use materials during emergency distance education. the teachers also reveal that direct instruction and questioning were the teaching methods and techniques they preferred in online courses and that they were unable to adapt other methods and techniques to distance education which resulted in students experiencing teacher-centered activities. moreover the teachers complain about students not attending the online courses on time or even at all their disinterest a lack of instant feedback limited communication with students and insufficient course lengths. another critical finding was that the teachers only use homework end-of-unit quizzes and participation to online courses as measurement and evaluation tools and agree that they are unable to administer reliable and valid evaluation tools. the limitations of the study and implications for future research are later discussed.
2021;learning analytics is quickly evolving. old fashioned dashboards with descriptive information and trends about what happened in the past are slightly substituted by new dashboards with forecasting information and predicting relevant outcomes about learning. artificial intelligence is aiding this revolution. the accessibility to computational resources has increased and specific tools and packages for integrating artificial intelligence techniques leverage such new analytical tools. however it is crucial to develop trustworthy systems especially in education where skepticism about their application is due to the risk of teachers' replacement. however artificial intelligence systems should be seen as companions to empower teachers during the teaching and learning process. during the past years the universitat oberta de catalunya has advanced developing a data mart where all data about learners and campus utilization are stored for research purposes. the extensive collection of these educational data has been used to build a trustworthy early warning system whose infrastructure is introduced in this paper. the infrastructure supports such a trustworthy system built with artificial intelligence procedures to detect at-risk learners early on in order to help them to pass the course. to assess the system's trustworthiness we carried out an evaluation on the basis of the seven requirements of the european assessment list for trustworthy artificial intelligence (altai) guidelines that recognize an artificial intelligence system as a trustworthy one. results show that it is feasible to build a trustworthy system wherein all seven altai requirements are considered at once from the very beginning during the design phase.
2021;background: changes have occurred in children's sleep habits during the coronavirus disease 2019 (covid-19) pandemic. the purpose of this study was to compare the sleep patterns during the covid-19 pandemic of school age children of health worker parents (group 1) and non-health worker parents (group 2). method: one hundred twenty-two participants were included in group 1 and 250 in group 2. the families' sociodemographic characteristics (education levels and occupations of mothers and fathers parental shift-working status monthly family income number of children in the family and place of residence) general information for the children taking part (diagnosis of covid-19 or covid-19 related isolation distance education participation in sporting activities time spent watching tv time devoted to reading time spent on telephones/tablets/computers and time spent on indoor activities) and the responses given to the children's sleep habits questionnaire (csqh)-abbreviated form were all examined. results: group 1 consisted of 122 individuals 66 (54.1%) female and 56 (45.9%) male and group 2 of 250 individuals 129 (51.6%) female and 121 (48.4%) male. statistically significant differences were determined between the groups in terms of parental education levels and occupations family monthly income number of children in the family place of residence parental shift-working status and length of time spent on indoor activities. total cshq scores were 41.57 +/- 7.57 (20-60) in group 1 and 39.6 +/- 8.47 (17-68) in group 2 (p:0.03). conclusion: greater impairment of sleep habits of school age children of health workers compared to those of non-health workers in the covid-19 pandemic is proved for the first time in this study. further assessment of the effects of the covid-19 pandemic on children's sleep habits is now required and appropriate measures must be taken in the light of the results obtained. (c) 2021 elsevier b.v. all rights reserved.
